"","tf","n","dist","avg","low","high","group"
"X561","CEBPB",5378,57,0.0262711315410759,0.0174571840957338,0.0350850789864179,"Nucleosome-SELEX"
"X571","CEBPB",5378,58,0.0239416262856757,0.0151752702996508,0.0327079822717006,"Nucleosome-SELEX"
"X581","CEBPB",5378,59,0.023734512101311,0.0149783837356319,0.0324906404669901,"Nucleosome-SELEX"
"X591","CEBPB",5378,60,0.0217861271555818,0.0130535798483275,0.0305186744628361,"Nucleosome-SELEX"
"X601","CEBPB",5378,61,0.0200381220311183,0.0113128514769784,0.0287633925852581,"Nucleosome-SELEX"
"X611","CEBPB",5378,62,0.0180758554118438,0.00936151674315005,0.0267901940805376,"Nucleosome-SELEX"
"X621","CEBPB",5378,63,0.0154497288627203,0.00674863747266325,0.0241508202527774,"Nucleosome-SELEX"
"X631","CEBPB",5378,64,0.0125859716511287,0.00392292589214865,0.0212490174101087,"Nucleosome-SELEX"
"X641","CEBPB",5378,65,0.00988903336807252,0.00121453612416578,0.0185635306119793,"Nucleosome-SELEX"
"X651","CEBPB",5378,66,0.00681787599801971,-0.00183868555910663,0.015474437555146,"Nucleosome-SELEX"
"X661","CEBPB",5378,67,0.00413298039762663,-0.00451010858961359,0.0127760693848668,"Nucleosome-SELEX"
"X671","CEBPB",5378,68,0.00185176791067125,-0.00678959046497789,0.0104931262863204,"Nucleosome-SELEX"
"X681","CEBPB",5378,69,-0.000202755338316103,-0.00884652887203551,0.0084410181954033,"Nucleosome-SELEX"
"X691","CEBPB",5378,70,-0.00224790892819822,-0.0108879659901509,0.00639214813375443,"Nucleosome-SELEX"
"X701","CEBPB",5378,71,-0.00569799091161566,-0.014337449205839,0.00294146738260767,"Nucleosome-SELEX"
"X711","CEBPB",5378,72,-0.00837477263351253,-0.0170146181729201,0.000265072905895053,"Nucleosome-SELEX"
"X721","CEBPB",5378,73,-0.0111131826988353,-0.0197262381459314,-0.00250012725173912,"Nucleosome-SELEX"
"X731","CEBPB",5378,74,-0.0149309375701711,-0.023486755223864,-0.00637511991647815,"Nucleosome-SELEX"
"X741","CEBPB",5378,75,-0.0161936064914764,-0.0247267954909336,-0.00766041749201919,"Nucleosome-SELEX"
"X751","CEBPB",5378,76,-0.0208197876442767,-0.0292880482656913,-0.0123515270228621,"Nucleosome-SELEX"
"X761","CEBPB",5378,77,-0.0236037536804336,-0.0320332194217186,-0.0151742879391486,"Nucleosome-SELEX"
"X771","CEBPB",5378,78,-0.0296533884038141,-0.0380070160915238,-0.0212997607161043,"Nucleosome-SELEX"
"X781","CEBPB",5378,79,-0.0362541759346149,-0.044516840104887,-0.0279915117643428,"Nucleosome-SELEX"
"X791","CEBPB",5378,80,-0.0443825260145426,-0.0525589147184837,-0.0362061373106015,"Nucleosome-SELEX"
"X801","CEBPB",5378,81,-0.0536757308888081,-0.0617464153568566,-0.0456050464207596,"Nucleosome-SELEX"
"X811","CEBPB",5378,82,-0.0659045859704518,-0.073897048830392,-0.0579121231105117,"Nucleosome-SELEX"
"X821","CEBPB",5378,83,-0.0767280064295073,-0.084627641237372,-0.0688283716216425,"Nucleosome-SELEX"
"X831","CEBPB",5378,84,-0.0931869157424108,-0.100895989708661,-0.0854778417761604,"Nucleosome-SELEX"
"X841","CEBPB",5378,85,-0.103812031672023,-0.111378823482208,-0.0962452398618389,"Nucleosome-SELEX"
"X851","CEBPB",5378,86,-0.120461295991121,-0.127804194427692,-0.113118397554551,"Nucleosome-SELEX"
"X861","CEBPB",5378,87,-0.135399872544032,-0.142486231757469,-0.128313513330595,"Nucleosome-SELEX"
"X871","CEBPB",5378,88,-0.147490955661684,-0.154378381447626,-0.140603529875743,"Nucleosome-SELEX"
"X881","CEBPB",5378,89,-0.154610802658771,-0.161370751627419,-0.147850853690123,"Nucleosome-SELEX"
"X891","CEBPB",5378,90,-0.163780952629851,-0.17043479803737,-0.157127107222332,"Nucleosome-SELEX"
