"","tf","n","dist","avg","low","high","group"
"X69144","ETV4",25650,70,-0.0437920422141785,-0.0474904982407328,-0.0400935861876242,"NCAP-SELEX"
"X70144","ETV4",25650,71,-0.0423825847323548,-0.0460976843962914,-0.0386674850684182,"NCAP-SELEX"
"X71183","ETV4",25650,72,-0.0406148307598101,-0.0443540075299929,-0.0368756539896274,"NCAP-SELEX"
"X72160","ETV4",25650,73,-0.0391613990074841,-0.0429154721818533,-0.0354073258331149,"NCAP-SELEX"
"X73147","ETV4",25650,74,-0.0397906277611324,-0.0435465399865534,-0.0360347155357114,"NCAP-SELEX"
"X74144","ETV4",25650,75,-0.0379499911363126,-0.0417140047225694,-0.0341859775500557,"NCAP-SELEX"
"X75144","ETV4",25650,76,-0.0407758318423234,-0.0445129800021453,-0.0370386836825015,"NCAP-SELEX"
"X76144","ETV4",25650,77,-0.0439929757363553,-0.0476842371387595,-0.0403017143339511,"NCAP-SELEX"
"X77144","ETV4",25650,78,-0.0466491673616297,-0.0503005068365385,-0.042997827886721,"NCAP-SELEX"
"X78144","ETV4",25650,79,-0.0487085012029308,-0.0523360179047351,-0.0450809845011266,"NCAP-SELEX"
"X79144","ETV4",25650,80,-0.0538102226041625,-0.0574172797017705,-0.0502031655065546,"NCAP-SELEX"
"X80144","ETV4",25650,81,-0.0603123216619866,-0.0638984520328466,-0.0567261912911265,"NCAP-SELEX"
"X81183","ETV4",25650,82,-0.0671821708963383,-0.0707807612169351,-0.0635835805757415,"NCAP-SELEX"
"X82160","ETV4",25650,83,-0.0730793920045499,-0.0766722781709466,-0.0694865058381532,"NCAP-SELEX"
"X83147","ETV4",25650,84,-0.0919474586866745,-0.0954374600450623,-0.0884574573282866,"NCAP-SELEX"
"X84144","ETV4",25650,85,-0.0994746828049918,-0.102922068838324,-0.0960272967716592,"NCAP-SELEX"
"X85144","ETV4",25650,86,-0.116504254334102,-0.119841175191687,-0.113167333476517,"NCAP-SELEX"
"X86144","ETV4",25650,87,-0.128246339357876,-0.131473465527874,-0.125019213187878,"NCAP-SELEX"
"X87144","ETV4",25650,88,-0.135021132935141,-0.138172900959503,-0.131869364910778,"NCAP-SELEX"
"X88144","ETV4",25650,89,-0.126723787517689,-0.129906745919925,-0.123540829115453,"NCAP-SELEX"
"X89144","ETV4",25650,90,-0.129974352878667,-0.133158328961201,-0.126790376796132,"NCAP-SELEX"
"X90144","ETV4",25650,91,-0.140763284582425,-0.143888905121744,-0.137637664043107,"NCAP-SELEX"
"X91174","ETV4",25650,92,-0.149997145081028,-0.153079402020975,-0.14691488814108,"NCAP-SELEX"
"X92154","ETV4",25650,93,-0.151354244302634,-0.154451651828407,-0.148256836776861,"NCAP-SELEX"
"X93144","ETV4",25650,94,-0.164615447524338,-0.167671958206637,-0.161558936842038,"NCAP-SELEX"
"X94144","ETV4",25650,95,-0.170922484969317,-0.173950892679336,-0.167894077259297,"NCAP-SELEX"
"X95144","ETV4",25650,96,-0.176479654490952,-0.179571078380109,-0.173388230601794,"NCAP-SELEX"
"X96144","ETV4",25650,97,-0.185129197845296,-0.188169007946891,-0.182089387743701,"NCAP-SELEX"
"X97144","ETV4",25650,98,-0.171107488339745,-0.17415431408582,-0.16806066259367,"NCAP-SELEX"
"X0145","GSX1",7500,1,-0.173484433355656,-0.179601533077382,-0.16736733363393,"NCAP-SELEX"
"X1807","GSX1",7500,2,-0.185211972453559,-0.191326685551216,-0.179097259355903,"NCAP-SELEX"
"X2807","GSX1",7500,3,-0.185532358663042,-0.191736210988366,-0.179328506337719,"NCAP-SELEX"
"X3807","GSX1",7500,4,-0.182466367767504,-0.188436504571133,-0.176496230963875,"NCAP-SELEX"
"X4807","GSX1",7500,5,-0.179798485730067,-0.185849909943762,-0.173747061516373,"NCAP-SELEX"
"X5807","GSX1",7500,6,-0.162655335030186,-0.16868958475341,-0.156621085306962,"NCAP-SELEX"
"X6807","GSX1",7500,7,-0.156253801645628,-0.162291445857559,-0.150216157433697,"NCAP-SELEX"
"X7807","GSX1",7500,8,-0.140071041585772,-0.146209871114167,-0.133932212057377,"NCAP-SELEX"
"X8807","GSX1",7500,9,-0.125471110312783,-0.131715842265731,-0.119226378359835,"NCAP-SELEX"
"X9805","GSX1",7500,10,-0.116696869790937,-0.12300752549125,-0.110386214090625,"NCAP-SELEX"
"X10145","GSX1",7500,11,-0.129282477463793,-0.135518798678883,-0.123046156248703,"NCAP-SELEX"
"X11184","GSX1",7500,12,-0.124744105710111,-0.131129294615801,-0.118358916804421,"NCAP-SELEX"
"X12161","GSX1",7500,13,-0.13542605366431,-0.141830363488626,-0.129021743839993,"NCAP-SELEX"
"X13148","GSX1",7500,14,-0.146436685422577,-0.152812396621463,-0.140060974223691,"NCAP-SELEX"
"X14145","GSX1",7500,15,-0.139225119836519,-0.145717879752097,-0.132732359920942,"NCAP-SELEX"
"X15145","GSX1",7500,16,-0.128388218779623,-0.134966033140841,-0.121810404418405,"NCAP-SELEX"
"X16145","GSX1",7500,17,-0.116272702316092,-0.122933012517308,-0.109612392114876,"NCAP-SELEX"
"X17145","GSX1",7500,18,-0.0987054317447267,-0.105517103724976,-0.0918937597644778,"NCAP-SELEX"
"X18145","GSX1",7500,19,-0.0809382304953875,-0.08787811299674,-0.073998347994035,"NCAP-SELEX"
"X19145","GSX1",7500,20,-0.0680392004290133,-0.0750984805602203,-0.0609799202978063,"NCAP-SELEX"
"X20145","GSX1",7500,21,-0.0580373033816376,-0.0651834722779699,-0.0508911344853053,"NCAP-SELEX"
"X21184","GSX1",7500,22,-0.0629751242162236,-0.0700984282277644,-0.0558518202046828,"NCAP-SELEX"
"X22161","GSX1",7500,23,-0.0597268245677993,-0.066884944310464,-0.0525687048251347,"NCAP-SELEX"
"X23148","GSX1",7500,24,-0.0696852196710107,-0.0766978075804074,-0.0626726317616139,"NCAP-SELEX"
"X24145","GSX1",7500,25,-0.073581412652332,-0.0805252831051708,-0.0666375421994932,"NCAP-SELEX"
"X25145","GSX1",7500,26,-0.0823561876684209,-0.0891752680308338,-0.0755371073060081,"NCAP-SELEX"
"X26145","GSX1",7500,27,-0.0918987381512213,-0.0985951729613362,-0.0852023033411064,"NCAP-SELEX"
"X27145","GSX1",7500,28,-0.102024868707085,-0.108597288463922,-0.0954524489502485,"NCAP-SELEX"
"X28145","GSX1",7500,29,-0.11018886199577,-0.116673502470736,-0.103704221520804,"NCAP-SELEX"
"X29145","GSX1",7500,30,-0.116590693686897,-0.123025161558963,-0.11015622581483,"NCAP-SELEX"
"X30145","GSX1",7500,31,-0.119927107493401,-0.126321430224839,-0.113532784761964,"NCAP-SELEX"
"X31184","GSX1",7500,32,-0.122016574525349,-0.128401097746836,-0.115632051303863,"NCAP-SELEX"
"X32161","GSX1",7500,33,-0.123494674347799,-0.129868633906605,-0.117120714788992,"NCAP-SELEX"
"X33148","GSX1",7500,34,-0.124358575982501,-0.130698206738401,-0.118018945226601,"NCAP-SELEX"
"X34145","GSX1",7500,35,-0.124490704331557,-0.130805798545552,-0.118175610117561,"NCAP-SELEX"
"X35145","GSX1",7500,36,-0.124089864469368,-0.130380257232006,-0.117799471706729,"NCAP-SELEX"
"X36145","GSX1",7500,37,-0.124613379406261,-0.130901147348232,-0.118325611464289,"NCAP-SELEX"
"X37145","GSX1",7500,38,-0.124844851722693,-0.131149932710971,-0.118539770734416,"NCAP-SELEX"
"X38145","GSX1",7500,39,-0.12476648738036,-0.131076803015208,-0.118456171745512,"NCAP-SELEX"
"X39145","GSX1",7500,40,-0.123359115928889,-0.129677959310348,-0.11704027254743,"NCAP-SELEX"
"X40145","GSX1",7500,41,-0.122456747751218,-0.128790050181351,-0.116123445321084,"NCAP-SELEX"
"X41184","GSX1",7500,42,-0.120058402425794,-0.126411363285741,-0.113705441565847,"NCAP-SELEX"
"X42161","GSX1",7500,43,-0.118592271519171,-0.124958217633126,-0.112226325405215,"NCAP-SELEX"
"X43148","GSX1",7500,44,-0.116215113406311,-0.122595475845796,-0.109834750966826,"NCAP-SELEX"
"X44145","GSX1",7500,45,-0.114196786176636,-0.120592281775902,-0.10780129057737,"NCAP-SELEX"
"X45145","GSX1",7500,46,-0.111935828532621,-0.118358659362369,-0.105512997702872,"NCAP-SELEX"
"X46145","GSX1",7500,47,-0.110257383835233,-0.116708053294513,-0.103806714375953,"NCAP-SELEX"
"X47145","GSX1",7500,48,-0.108794382292907,-0.115255218759706,-0.102333545826107,"NCAP-SELEX"
"X48145","GSX1",7500,49,-0.10727496696536,-0.113740815275899,-0.100809118654821,"NCAP-SELEX"
"X49145","GSX1",7500,50,-0.105461236563363,-0.111929226783325,-0.0989932463434006,"NCAP-SELEX"
"X50145","GSX1",7500,51,-0.102402292387497,-0.108885650326422,-0.0959189344485717,"NCAP-SELEX"
"X51184","GSX1",7500,52,-0.101250323259621,-0.107750495242294,-0.0947501512769474,"NCAP-SELEX"
"X52161","GSX1",7500,53,-0.0982350555387867,-0.104769806015761,-0.0917003050618124,"NCAP-SELEX"
"X53148","GSX1",7500,54,-0.0952582991347008,-0.101819982791773,-0.0886966154776281,"NCAP-SELEX"
"X54145","GSX1",7500,55,-0.0920643552357987,-0.0986808680342805,-0.0854478424373169,"NCAP-SELEX"
"X55145","GSX1",7500,56,-0.0885314849061253,-0.0951900815566538,-0.0818728882555968,"NCAP-SELEX"
"X56145","GSX1",7500,57,-0.0870129892949669,-0.0936667966610192,-0.0803591819289146,"NCAP-SELEX"
"X57145","GSX1",7500,58,-0.0860007631470547,-0.0926662897557148,-0.0793352365383945,"NCAP-SELEX"
"X58145","GSX1",7500,59,-0.0839433634554627,-0.0906177895203566,-0.0772689373905687,"NCAP-SELEX"
"X59145","GSX1",7500,60,-0.0807518910166032,-0.0874575539671362,-0.0740462280660702,"NCAP-SELEX"
"X60145","GSX1",7500,61,-0.0764203354213973,-0.0831711189644819,-0.0696695518783128,"NCAP-SELEX"
"X61184","GSX1",7500,62,-0.0734663185660915,-0.0802685456970929,-0.06666409143509,"NCAP-SELEX"
"X62161","GSX1",7500,63,-0.0706800458395719,-0.0774947266426125,-0.0638653650365312,"NCAP-SELEX"
