"","tf","n","dist","avg","low","high","group"
"X339","ALB1",332578,34,-0.105272549248382,-0.106258357608418,-0.104286740888345,"48"
"X349","ALB1",332578,35,-0.115884839350287,-0.116878208568781,-0.114891470131793,"48"
"X359","ALB1",332578,36,-0.126258309540594,-0.127231241718362,-0.125285377362826,"48"
"X369","ALB1",332578,37,-0.158191638864829,-0.159110998708915,-0.157272279020743,"48"
"X379","ALB1",332578,38,-0.189716837227674,-0.190583465532048,-0.1888502089233,"48"
"X389","ALB1",332578,39,-0.204651698524915,-0.205545040160441,-0.203758356889389,"48"
"X399","ALB1",332578,40,-0.199831635569115,-0.20073247127451,-0.198930799863719,"48"
"X409","ALB1",332578,41,-0.227181329655344,-0.228014294157739,-0.226348365152949,"48"
"X4113","ALB1",332578,42,-0.229782648457765,-0.230617812912994,-0.228947484002535,"48"
"X4211","ALB1",332578,43,-0.257029601330182,-0.257802224923354,-0.256256977737009,"48"
"X439","ALB1",332578,44,-0.29532617798618,-0.295998092728926,-0.294654263243433,"48"
"X449","ALB1",332578,45,-0.321093804226054,-0.32172530659056,-0.320462301861548,"48"
"X459","ALB1",332578,46,-0.370033758771309,-0.370633720918276,-0.369433796624343,"48"
"X469","ALB1",332578,47,-0.374375246623676,-0.374934717812035,-0.373815775435316,"48"
"X479","ALB1",332578,48,-0.36669447297107,-0.367267364410715,-0.366121581531426,"48"
"X489","ALB1",332578,49,-0.402967247419086,-0.403531051041364,-0.402403443796809,"48"
"X499","ALB1",332578,50,-0.409516489012393,-0.410082778088537,-0.408950199936249,"48"
"X509","ALB1",332578,51,-0.388680860242628,-0.389277910645566,-0.388083809839691,"48"
"X5113","ALB1",332578,52,-0.399459102883942,-0.400002029357211,-0.398916176410672,"48"
"X5211","ALB1",332578,53,-0.388932115352689,-0.389476958432047,-0.388387272273331,"48"
"X539","ALB1",332578,54,-0.392935540248729,-0.393472552521068,-0.392398527976391,"48"
"X549","ALB1",332578,55,-0.425902532228263,-0.426411240609271,-0.425393823847254,"48"
"X559","ALB1",332578,56,-0.398473178831056,-0.39894724481263,-0.397999112849483,"48"
"X569","ALB1",332578,57,-0.396345032520119,-0.39678873673969,-0.395901328300548,"48"
"X579","ALB1",332578,58,-0.38950637049516,-0.389900661283658,-0.389112079706663,"48"
"X589","ALB1",332578,59,-0.400882760718879,-0.401233919448192,-0.400531601989567,"48"
"X599","ALB1",332578,60,-0.41414897246952,-0.414469927586884,-0.413828017352156,"48"
"X609","ALB1",332578,61,-0.37160170362181,-0.371888614156243,-0.371314793087376,"48"
"X6113","ALB1",332578,62,-0.390892238288184,-0.3911529822156,-0.390631494360768,"48"
